breeder_pair,litter_date,litter_size
100,3/29/2022,12
100,4/24/2022,0
100,5/25/2022,10
100,6/17/2022,0
100,7/15/2022,6
100,8/7/2022,0
101,11/27/2020,6
101,12/21/2020,7
101,1/13/2021,0
101,2/7/2021,8
101,3/4/2021,4
101,6/2/2021,0
102,6/10/2022,7
102,7/1/2022,9
102,8/2/2022,0
102,8/24/2022,4
102,9/14/2022,0
102,10/11/2022,9
103,4/16/2021,1
103,5/7/2021,5
103,5/28/2021,0
103,6/21/2021,8
103,7/13/2021,9
103,9/19/2021,0
104,7/25/2022,4
104,8/14/2022,3
104,9/12/2022,6
104,10/3/2022,6
104,10/25/2022,0
104,11/19/2022,5
104,1/1/2023,5
105,9/21/2022,7
105,10/22/2022,9
105,11/13/2022,6
105,12/5/2022,0
107,1/21/2020,0
107,2/20/2020,0
107,3/12/2020,5
107,4/4/2020,4
107,5/19/2020,1
108,8/7/2022,7
108,9/17/2022,9
108,10/9/2022,0
110,11/7/2022,3
110,11/28/2022,0
110,12/28/2022,5
110,1/20/2023,0
110,2/16/2023,8
110,3/11/2023,4
111,11/27/2022,8
111,12/24/2022,4
111,1/29/2023,11
111,2/21/2023,0
111,4/5/2023,0
111,4/26/2023,5
112,12/12/2022,6
112,1/5/2023,8
112,2/3/2023,0
112,2/19/2023,6
112,3/13/2023,2
112,4/4/2023,6
112,4/26/2023,3
113,3/14/2023,4
113,4/6/2023,6
113,5/1/2023,5
113,5/24/2023,6
113,7/12/2023,6
113,8/14/2023,4
114,7/7/2023,0
114,7/24/2023,3
114,9/2/2023,5
114,9/24/2023,0
115,7/20/2023,4
115,8/13/2023,2
115,9/4/2023,6
115,9/25/2023,0
115,10/22/2023,7
115,11/13/2023,0
115,12/4/2023,7
116,7/17/2023,6
116,8/7/2023,6
116,8/30/2023,4
116,9/22/2023,4
116,10/14/2023,6
116,11/6/2023,5
116,12/17/2023,7
117,2/13/2021,2
117,3/7/2021,4
118,1/24/2020,7
118,2/16/2020,6
